product_name,count,candidate,confidence,score,gap,query
HACHIS PORC-VEAU,72,"Bockwurst, pork, veal, raw",low,4.6154,0.2404,hachis pork veal
SAL BLE EMB 100GR,13,"HOT SAL'S, HOT",low,2.9167,0.0357,sal ble emb
DANONE ACT FRAISES,12,ORGANIC WHOLE STRAWBERRIES FRAISES,low,2.5385,0.0102,danone act fraises
200G MEDAILLON DE VEAU,9,"VEAL DEMI GLACE, VEAL",low,3.0946,0.039,medaillon de veal
100GR JEUNES POUSS,9,YOUNG CORN,low,3.1667,0.058,young pouss
MEDAILLON DE VEAU,8,"VEAL DEMI GLACE, VEAL",low,3.0946,0.039,medaillon de veal
500G SP K LAIT CHO,8,PAIN AU LAIT,low,3.06,0.0752,sp k lait cho
125GR MESCLUN,8,MESCLUN GOAT CHEESE SALAD,low,4.4375,0.096,mesclun
100GR JEUNES POUS,7,YOUNG CORN,low,3.2,0.0636,young pous
375G CHOCO LAIT,7,HOT CHOCO LATE,low,3.25,0.0132,choco lait
BOURSIN POIVRE,7,"BOURSIN, BASIL & CHIVE GOURNAY CHEESE",low,3.0,0.0111,boursin poivre
GAROF MOZZA BUFAL D,6,TOMATO & MOZZARELLA SALAD,low,2.7234,0.0123,garof mozzarella bufal d
SOMA MULTIGRAIN 40,6,"Oatmeal, multigrain",low,3.3485,0.0485,soma multigrain
CIBOULETTE BIO,6,CHIVES,low,4.75,0.05,chives bio
190G THIN ROMARIN,6,THIN MINTS,low,3.2273,0.1066,thin romarin
MINI BURGER LIMOUS,6,ARTISAN BURGER BUNS,low,3.1486,0.0,mini burger limous
TORTELLONI BASILI,6,TORTELLONI,low,3.2407,0.0896,tortelloni basili
FAIREBEL 1/2 E,6,,none,0.0,0.0,fairebel e
PETIT LION HOM NA,6,"FOOD LION, HOT SAUCE",low,2.5556,0.0056,petit lion hom na
SAN MARZANO,6,SAN MARZANO TOMATOES,low,5.7097,0.0626,san marzano
500G DE CECCO GNOC,5,"DE CECCO, LINGUINE",low,3.2333,0.0667,de cecco gnoc
CAMP FROM FR ENT,5,"Garlic bread, from frozen",low,2.6,0.0194,camp from fr ent
PDT GRENAILLE 1KG,5,,none,0.0,0.0,pdt grenaille
ORAL B PREC CL REF,5,ORAL CARE DRY MOUTH LOZENGES FRUIT MIX,low,2.3929,0.0532,oral b prec cl ref
200G SM MINI TORTI,5,,none,0.0,0.0,sm mini torti
PATE A PIZZA,5,PAN PIZZA,low,3.2619,0.0212,pate a pizza
SAUMON BELLE-VUE,5,"SWEET CORN, BELLE PEPPER & ONION",low,2.4889,0.0967,saumon belle vue
NOIR DE NOIR C OR,5,ORGANIC D'NOIR PRUNES,low,4.5789,0.0544,noir de noir c or
AUBEL BEURRE 500G,5,PETIT BEURRE BISCUIT,low,3.0,0.0385,aubel beurre
400G PATE NOI CRU,4,PATE WITH ONION,low,2.5185,0.0185,pate noi cru
SAUCISSE P&V,4,SAUCISSE DE SANGLIER,low,4.625,4.625,saucisse p v
AUBERGINES,4,AUBERGINES CAPONATA,low,4.6897,0.1897,aubergines
DLL OEUVS BIO MIX,4,DILL DIP MIX,low,2.6207,0.0053,dll oeuvs bio mix
COLUMBUS OEUFS 6PC,4,"COLUMBUS, CHORIZO CASERO",low,3.0946,0.0156,columbus oeufs
OEUFS COLUMBUS,4,"COLUMBUS, PREMIUM GENOA",low,2.9444,0.012,oeufs columbus
250ML AXE SG MOJIT,4,,none,0.0,0.0,axe sg mojit
DINOSAURUS CHOCOLA,4,,none,0.0,0.0,dinosaurus chocola
DLL MAYO TD,4,LIME MAYO,low,3.1,0.0,dll mayo td
250G LAVAZZA ROMA,4,"Tomato, roma",low,3.0217,0.0417,lavazza roma
200G NUTELLA,4,"BON APPE, NUTELLA, SWIRL COOKIES",low,4.3784,0.01,nutella
HERTA LRDNS NATUR,4,NATUR LIQUID SEASONING,low,2.2564,2.2564,herta lrdns natur
CHIQUITA C BANANES,4,"CHIQUITA, BANANA BREAD MIX",low,3.1977,3.1977,chiquita c bananes
OIGNONS JAUNE 1KG,4,GREEN ONIONS OIGNONS VERT,low,2.9737,2.9737,oignons jaune
6 WRAPS DE BLE,4,EPI DE BLE,low,3.2273,0.1066,wraps de ble
TOTAAL,4,,none,0.0,0.0,totaal
FRUIT & LEGUMES,4,FRUIT GUMMIES,low,3.3462,0.0635,fruit legumes
FENOUILS,4,,none,0.0,0.0,fenouils
365 HARICOTS V COU,4,HARICOTS VERTS,low,3.2143,0.1429,haricots v cou
MERCERENSTOK.GROO,4,,none,0.0,0.0,mercerenstok groo
ESCALOPE DE VEAU,4,"VEAL DEMI GLACE, VEAL",low,3.1111,0.0397,escalope de veal
TRAITEUR,4,,none,0.0,0.0,traiteur
125G D365 MAQ TOUR,4,THE ICE CREAM TOUR CUPS,low,2.3889,0.0253,d365 maq tour
BURGER ANGUS,4,"ANGUS BEEF BURGER, ANGUS BEEF",low,5.6,0.0419,burger angus
GAROF MOZZA BUFFA C,4,FRESH MOZZARELLA BALL,low,2.6667,0.0,garof mozzarella buffa c
GAROF MOZZA BUF A D,4,TOMATO & MOZZARELLA SALAD,low,2.6809,0.0142,garof mozzarella buf a d
20CL CAPR-SUN TROP,4,TUSCAN SUN TRAIL MIX,low,2.5455,0.0293,capr sun trop
33CL SCHWEPPES TON,4,"SCHWEPPES, TONIC WATER",low,3.2647,0.098,schweppes ton
MEERGRANENSTOKB.GROO,4,,none,0.0,0.0,meergranenstokb groo
ROSETTE,4,8 S/L ROSETTE AND BALLOON GOLD CAKE,low,4.3333,4.3333,rosette
EM 335G FRAISE,4,"JAM, STRAWBERRY",low,4.8889,0.0,em strawberry
CHOUX CHINOIS,3,,none,0.0,0.0,choux chinois
224G GAUF VANI CHO,3,HOT SAUCE PIMENT CHO,low,2.4848,0.2156,gauf vani cho
450G DLL POIS BIOL,3,Dubon Petit Pois Grn Pea  15 oz,low,2.3721,0.0165,dll pois biol
FRAMBOIS 125G,3,,none,0.0,0.0,frambois
400G EXQUISE BAG,3,WATERMELON QUARTER BAG,low,2.9848,0.0233,exquise bag
JEUNE POUSSE MIX,3,MOUSSE MIX,low,2.6923,0.0066,jeune pousse mix
POMME GRENA,3,"Apple, raw",low,3.3,0.0174,apple grena
250G CRUNCHY BIO,3,CRUNCHY ROLL,low,4.7826,0.0626,crunchy bio
CONTFEILLET,3,,none,0.0,0.0,contfeillet
ROMB CACHET DOR G,3,,none,0.0,0.0,romb cachet dor g
"BIO BANANEN 0,560 KG X",3,,none,0.0,0.0,bio bananen x
MINI BURGER ANGUS,3,"PREMIUM ANGUS BEEF BURGER, ANGUS",low,5.6667,0.0444,mini burger angus
250G DLL TOA CHEST,3,,none,0.0,0.0,dll toa chest
ROTI DE VEAU,3,GROUND VEAL,low,3.1957,0.1401,roti de veal
MKADO CHOC LAIT,3,MLNO CHOC MINT,low,2.6897,0.069,mkado choc lait
WRAPS DE BLE,3,EPI DE BLE,low,3.2273,0.1066,wraps de ble
COLIMBUS OEUFS 5+1,3,,none,0.0,0.0,colimbus oeufs
COEUR DOUX LIT GEM,3,"PLAIN COEUR DE LA CREME, PLAIN",low,2.2606,0.0793,coeur doux lit gem
MIKADO CHOC LAIT,3,MILK CHOC MLNO,low,2.6667,0.0,mikado choc lait
FRAMBOISE 125G,3,SORBET A LA FRAMBOISE,low,4.6,4.6,framboise
PEREN,3,,none,0.0,0.0,peren
500ML BECEL HUILE,3,,none,0.0,0.0,becel huile
ECHALOTES 500G,3,,none,0.0,0.0,echalotes
6X55ML MAGNUM ALMO,3,,none,0.0,0.0,6x55ml magnum almo
GEMARINEERDE RIBS,3,TENDER RIBS,low,3.1429,0.0503,gemarineerde ribs
SAUMON FUME,3,,none,0.0,0.0,saumon fume
185G LAYS S&L.PEP,3,WY SIP CRN PBLN PEP,low,3.0806,0.0251,lays s l pep
500G DE CECCO RADI,3,"DE CECCO, ORZO, PASTA",low,3.1875,0.0208,de cecco radi
4X4G DOUBLE LAIT,3,DOUBLE CHOCOLATE,low,2.625,0.0096,4x4g double lait
150ML REX COB DRY,3,"Rice noodles, dry",low,2.5926,0.0212,rex cob dry
EM 335G RHUBARBE,3,,none,0.0,0.0,em rhubarbe
GAROF MOZZA BUFALINA,3,FRESH MOZZARELLA BURRATINA,low,2.7451,0.0368,garof mozzarella bufalina
GERLINEA CHOCOLAT,3,PAIN AU CHOCOLAT,low,3.2273,0.0873,gerlinea chocolat
6X33CL HOEG 0.0 CA,3,,none,0.0,0.0,6x33cl hoeg ca
HERTA LARDNS NATUR,3,NATUR LIQUID SEASONING,low,2.25,2.25,herta lardns natur
FRASSE 500G,3,,none,0.0,0.0,frasse
DE CECCO CASARECCI,3,"DE CECCO, ORZO, PASTA",low,3.1486,0.0633,de cecco casarecci
OEUFS BIO 12 PCS,3,,none,0.0,0.0,oeufs bio
100G DLF 4 BOUCHEE,3,,none,0.0,0.0,dlf bouchee
PASTEQUE MINI,3,,none,0.0,0.0,pasteque mini
PHILADELPHIA ORIGI,3,PHILADELPHIA ROLL,low,3.3,0.1077,philadelphia origi
HERTA PATE FNE RON,3,LIVER PATE,low,2.25,0.0135,herta pate fne ron
DIKKE AJUIN,3,,none,0.0,0.0,dikke ajuin
MESCLUN,3,MESCLUN GOAT CHEESE SALAD,low,4.4375,0.096,mesclun
MINI BUTCHER BURGE,2,BUTCHER'S RUB,low,3.0806,0.0251,mini butcher burge
6X25CL CRISTAL ORI,2,SEA SALT FINE CRISTAL,low,2.4615,0.0044,6x25cl cristal ori
BIOESCHE FILET POUL,2,BEEF FILET MIGNON,low,2.6111,0.0745,bioesche filet poul
6X33CL SCHWEPPES M,2,"SCHWEPPES, GINGER ALE",low,3.0263,0.0135,6x33cl schweppes m
75 CROZES HERM GAL,2,"Soy Sauce, 1 GAL",low,2.4667,0.0222,crozes herm gal
MOUSSEL POM.MATER,2,VFUS LT POM BLUE,low,2.5455,0.0312,moussel pom mater
BANANEN,2,,none,0.0,0.0,bananen
BIO GINGEMBRE,2,,none,0.0,0.0,bio gingembre
BIO PDT FARINE 2KG,2,,none,0.0,0.0,bio pdt farine
MOUSSEL.POM.MATER,2,VFUS LT POM BLUE,low,2.5455,0.0312,moussel pom mater
BARILLA SPAGHETTI5,2,"BARILLA, SPAGHETTI",low,3.4714,0.1214,barilla spaghetti5
6X33 SCHWEPPES LEM,2,"SCHWEPPES, GINGER ALE",low,2.6316,0.0675,6x33 schweppes lem
NOISETTES D'AGNEAU,2,"Lamb, NS as to cut",low,5.2963,5.2963,cut d lamb
OEUVFS BIO 12 PCS,2,,none,0.0,0.0,oeuvfs bio
OEUVS COLUMBUS,2,"COLUMBUS, PREMIUM GENOA",low,2.9444,0.012,oeuvs columbus
OIGNON JAUNE GEANT,2,,none,0.0,0.0,oignon jaune geant
NIVEA ST. CLEAR,2,VANILLA CLEAR,low,3.1667,0.125,nivea st clear
BIO AIL 2 PC,2,"MAYONNAISE, ROASTED GARLIC AIL ROTI",low,4.2927,0.0363,bio ail
75G CHIPS POIS BIO,2,"CHIPS, SPICY SWEET CHILI",low,3.0946,0.0064,chips pois bio
MYRTELLE 150GR,2,,none,0.0,0.0,myrtelle
75CL PROSECCO DOC,2,PROSECCO CHICKEN SAUSAGE,low,3.0556,0.0101,prosecco doc
750G ROSTY,2,,none,0.0,0.0,rosty
750G POMMES NOISET,2,POMMES SAUCE,low,3.22,0.1575,pommes noiset
75 NUVOOLA 19R BIO,2,,none,0.0,0.0,nuvoola bio
BIO HOMOUS 200G,2,,none,0.0,0.0,bio homous
6X25CL JUPILER BAS,2,CPB HS HR TOM BAS,low,2.4,0.0571,6x25cl jupiler bas
LE BEURRE BIO,2,PETIT BEURRE BISCUIT,low,4.6667,0.0667,le beurre bio
BOTTE POIREAU,2,,none,0.0,0.0,botte poireau
"DLL BIO OEUFS 6PC 2,95",2,,none,0.0,0.0,dll bio oeufs
HACHIS P&V S/EPICE,2,"HAND-PAINTED ARTISAN CHOCOLATES, EPICE",low,2.9,2.9,hachis p v s epice
DLL OEUFS BIO MIX,2,DILL DIP MIX,low,2.6207,0.0053,dll oeufs bio mix
DLL PAP. CUISSON,2,,none,0.0,0.0,dll pap cuisson
HACHIS,2,,none,0.0,0.0,hachis
DLL SAMOURAI TD,2,,none,0.0,0.0,dll samourai td
DLL TOA CHEST,2,,none,0.0,0.0,dll toa chest
DLL YA MAIG NAT 8X,2,"Whole Grain Yellow Star Cookie, IW all nat",low,2.3571,0.0571,dll ya maig nat
DOC PROSECCO DOC,2,"DOC POP PREBIOTIC SODA, DOC POP",low,3.0652,3.0652,doc prosecco doc
DORITOS NACHO CHEE,2,.75OZ DORITOS NACHO,low,4.7222,0.038,doritos nacho chee
DUN STOKBROOD,2,BAGUETTE,low,3.3,0.0,dun baguette
DUN STOKERBROOD,2,"DUN MORE FLAVORED 100% CHEESE, DUN MORE",low,2.7692,2.7692,dun stokerbrood
GERLINA CHOCOLAT,2,PAIN AU CHOCOLAT,low,3.25,0.0833,gerlina chocolat
ELEC CHEQ REPAS,2,,none,0.0,0.0,elec cheq repas
GARZPACHO 1L,2,,none,0.0,0.0,garzpacho
EXCELLENCE 70,2,"LINDT, EXCELLENCE DARK CHOCOLATE",low,4.4878,0.053,excellence
FAIRBEL 1/2 E,2,,none,0.0,0.0,fairbel e
GALBANI CROCC MOZZ,2,"GALBANI, MOZZARELLA CHEESE",low,4.7347,0.0074,galbani crocc mozzarella
FILET POITRINE DE,2,FILET OF ALLIGATOR,low,3.0714,0.0197,filet poitrine de
FILET PUR,2,FILET MIGNON,low,3.0714,0.0529,filet pur
FILET PUR DE DORC,2,FILET OF ALLIGATOR,low,2.5143,0.0265,filet pur de dorc
FILET SAUMON S/P,2,FILET MIGNON,low,3.1429,0.0788,filet saumon s p
FILETS PORC-VEAU,2,"Bockwurst, pork, veal, raw",low,4.5641,0.1891,filets pork veal
FRISK CLEAN BR PEP,2,"FRESH KIDS, CLEAN & SIMPLE POPCORN",low,2.5714,0.0309,frisk clean br pep
FLEURES 38,2,,none,0.0,0.0,fleures
FRAISES FANTIER,2,STRAWBERRIES FRAISES,low,2.9,0.1143,fraises fantier
HARICOTS FINS 400G,2,HARICOTS VERTS,low,3.2407,0.1525,haricots fins
HERTA LARDNS NAT,2,"Whole Grain Yellow Star Cookie, IW all nat",low,2.386,0.0223,herta lardns nat
BRUNIR/SERVIR VEAU,2,"REDI-SERVE, VEAL PATTIES",low,2.5854,0.0336,brunir servir veal
DLH BEURRE BIO,2,PETIT BEURRE BISCUIT,low,3.0882,0.0365,dlh beurre bio
BURGER 100 % DE BO,2,BURGER SPICE RUB,low,4.7143,0.0186,burger de bo
BUTCHER BURGE,2,BUTCHER'S RUB,low,3.1923,0.0471,butcher burge
CAMP FROM FR ENTIE,2,APPLE FROM CONCENTRATE,low,2.6,0.0146,camp from fr entie
MEI BABYBEL,2,"SNACK TRAY, WITH EGG & BABYBEL CHEESE",low,2.9,0.0364,mei babybel
CARLS BEURRE FT D,2,"ECHIRE, BEURRE DE BARATTE",low,3.0366,0.006,carls beurre ft d
CARLS BEURRE SALE,2,"ECHIRE, BEURRE DE BARATTE",low,2.5854,0.0854,carls beurre sale
CELERI VERT,2,HARICOT VERT,low,3.1087,0.1643,celeri vert
MAREDSOUS TRADITIO,2,,none,0.0,0.0,maredsous traditio
MAGUE,2,,none,0.0,0.0,mague
LINGOT EXCELLENCE,2,"LINDT, EXCELLENCE DARK CHOCOLATE",low,3.125,0.059,lingot excellence
CHOU-FLEUR,2,FLEUR DE SEL,low,2.9545,0.0335,chou fleur
LINDT EXC12 CCAO,2,"LINDT, DARK CHOCOLATE",low,2.5556,0.0,lindt exc12 ccao
LINDEX EXCELLENCE,2,"LINDT, EXCELLENCE DARK CHOCOLATE",low,3.125,0.059,lindex excellence
LINDET EXCELLENCE,2,"LINDT, EXCELLENCE DARK CHOCOLATE",low,3.1667,0.0629,lindet excellence
CLEMENTINES FEUIL,2,CLEMENTINES,low,3.2857,0.0357,clementines feuil
LEEGGOD,2,,none,0.0,0.0,leeggod
LAISE NATUREL,2,,none,0.0,0.0,laise naturel
CONF.NOSTALGIE,2,,none,0.0,0.0,conf nostalgie
JOLIBOIS OEUFS 5+1,2,,none,0.0,0.0,jolibois oeufs
CORIANDRE BIO,2,,none,0.0,0.0,coriandre bio
JEUNE POUSS MIK,2,,none,0.0,0.0,jeune pouss mik
HUMOUS,2,,none,0.0,0.0,humous
HMC SERVIETTE 33CM,2,,none,0.0,0.0,hmc serviette
DELTO VEG CHIC CUR,2,CKY SAV CHIC W/RIC,low,2.25,0.0,delto veg chic cur
HERTA PATE BRISSEE,2,"ARTICHOKE PATE, ARTICHOKE",low,2.5238,0.0238,herta pate brissee
600G POM DUCH DLL,2,FUJI POM BLEND JUICE,low,2.4375,0.0804,pom duch dll
"1,005 KG X 3,79/ KG",2,,none,0.0,0.0,x kg
600G GAUFFRE POT,2,TURKEY POT PIE,low,3.06,0.0415,gauffre pot
250G DLI TORT RIC,2,MEDOVIK  TORT,low,2.5833,0.0208,dli tort ric
250G DLL TORI RIC,2,ENRICHED RIC,low,2.5,0.1,dll tori ric
250G DLL TORT RIC,2,TORT WAFERS,low,2.5217,0.0217,dll tort ric
250G L28 INDONESIA,2,,none,0.0,0.0,l28 indonesia
250ML REAL MAYO SQ,2,REAL MAYO,low,5.8571,0.1696,real mayo sq
PENNE RIGATE BARI,2,PENNE RIGATE MACARONI,low,4.8421,0.0145,penne rigate bari
300G COTE D OR PAT,2,"COTE D'OR, BELGIAN DARK CHOCOLATE",low,3.0333,0.0627,cote d or pat
300G DLL CARE PATE,2,"SELLS, LIVER PATE",low,2.6207,0.012,dll care pate
ROSTIER PURE DORC,2,STILL PURE WATER,low,2.6061,0.0271,rostier pure dorc
33CL SCH GINGER AL,2,"SCHWEPPES, GINGER ALE",low,3.2879,0.0022,sch ginger al
33CL SCHW MOJITO Z,2,Mojito,low,3.1316,0.0482,schw mojito z
350G GRANOLA CHOC,2,"CHOC CHIP CHEWY GRANOLA BARS, CHOC CHIP",low,5.48,0.121,granola choc
350G HG GRANOLA,2,GRANOLA,low,4.8235,0.0053,hg granola
375G XTRA CHO NOIR,2,CHOCOLAT NOIR,low,2.6154,0.0637,xtra cho noir
390G VERMICEL LAIT,2,PAIN AU LAIT,low,2.98,0.0063,vermicel lait
3X200G THON NATURE,2,"MADE IN NATURE, PLUMS",low,2.4737,0.0389,3x200g thon nature
PROSC CRUDO ITALIA,2,PROSCIUTTO D'ITALIA,low,2.7568,0.1097,prosc crudo italia
PRESID BEURRE 250G,2,PETIT BEURRE BISCUIT,low,3.1061,0.1061,presid beurre
400G BICARBONATE,2,,none,0.0,0.0,bicarbonate
400G DLL PATE NOI,2,"COD LIVER PATE, COD LIVER",low,2.5556,0.0101,dll pate noi
250G DLL NICARAGUA,2,85% NICARAGUA ORGANIC DARK CHOCOLATE,low,2.9167,2.9167,dll nicaragua
2400 G SANS GL/LAC,2,,none,0.0,0.0,sans gl lac
450G DLT FOIS BIOL,2,,none,0.0,0.0,dlt fois biol
2145,2,,none,0.0,0.0,
"1,25 KG X",2,,none,0.0,0.0,x
VIDANGE VAL 0.6E,2,CONVERSATION HEARTS VAL PALS CANDY,low,2.8111,0.1957,vidange val
100G COTE D'OR PAI,2,"COTE D'OR, BELGIAN DARK CHOCOLATE",low,2.9889,0.0183,cote d or pai
100G MKA CHOC LAIT,2,MILK CHOC MLNO,low,2.6667,0.0,mka choc lait
125G DLL CASSAVE,2,,none,0.0,0.0,dll cassave
TOAST KROKANT HAU,2,TOAST ROUNDS,low,2.6207,0.0752,toast krokant hau
"175GR CHICON GAST 3,00",2,,none,0.0,0.0,chicon gast
TERUG,2,,none,0.0,0.0,terug
185G LAYS S&BL.DEP,2,Lays Sweet Chili Heat 1z,low,3.0405,0.0578,lays s bl dep
185G LAYS S4BL PEP,2,WY SIP CRN PBLN PEP,low,2.5625,0.076,lays s4bl pep
SUZI CHOCO LAIT 8P,2,HOT CHOCO LATE,low,2.6897,0.0785,suzi choco lait
STEW MARINE,2,STEW MEAT,low,3.2,0.0077,stew marine
SPINAZIE 450GR,2,,none,0.0,0.0,spinazie
SPAGHETTI 500G,2,SPAGHETTI,high,99.0,99.0,spaghetti
SOMI MULTIGRAIN 40,2,MULTIGRAIN,low,3.3,0.0,somi multigrain
SHEZZA PATE PIZZA,2,"PIZZA SAUCE, PIZZA",low,2.7059,0.0,shezza pate pizza
200GR HUMOUS,2,,none,0.0,0.0,humous
SAUMON FUME DL,2,,none,0.0,0.0,saumon fume dl
SAUM FUM CHAU ANET,2,KIMLAN LOU CHAU SOY SAUCE,low,2.2151,0.0106,saum fum chau anet
40G DLL PATE NOI,2,"COD LIVER PATE, COD LIVER",low,2.5556,0.0101,dll pate noi
750G MCC DUCHESSE,2,,none,0.0,0.0,mcc duchesse
450G QUAK MUE MULT,2,,none,0.0,0.0,quak mue mult
450G SKYR NATURE,2,Isey Skyr Natural 170g,low,3.1061,0.0,skyr nature
500G DLL BIO SPAGH,2,,none,0.0,0.0,dll bio spagh
500G MACCHERONI,2,"VODKA MACCHERONI SAUCE, VODKA",low,4.5263,0.0385,maccheroni
POMME DUCHESSE,2,APPLE DICES,low,3.3,0.08,apple duchesse
500G ROMB DESSERT,2,CREAM DESSERT,low,3.3,0.0308,romb dessert
POIVRONS ROUGES,2,,none,0.0,0.0,poivrons rouges
500GR L RIS GRAI,2,,none,0.0,0.0,l ris grai
4X125GR ACTIVIA Y.,2,ACTIVIA GREEK NONFAT YOGURT,low,2.9091,0.0091,4x125gr activia y
450G QUAK MEUS NOI,2,,none,0.0,0.0,quak meus noi
SONA MULTIGRAIN 40,1,MULTIGRAIN,low,3.3,0.0,sona multigrain
SOML BECEL HUILE,1,,none,0.0,0.0,soml becel huile
HERTA LADINS NATUR,1,NATUR LIQUID SEASONING,low,2.25,2.25,herta ladins natur
SOMM SUMM. ECOS,1,,none,0.0,0.0,somm summ ecos
HERTA BLINIS 2KG,1,MINI BLINIS,low,3.1087,0.1643,herta blinis
HERITAGE PATÉ ZNE RON,1,HERITAGE STYLE BREAD,low,2.3841,0.0416,heritage pate zne ron
GUACRACHO 11,1,,none,0.0,0.0,guacracho
STOKBROOD,1,BAGUETTE,high,99.0,99.0,baguette
STAEDTLER 4 FLUOS,1,,none,0.0,0.0,staedtler fluos
POIS CHICHES,1,EARLY SPRING PETIT POIS PEAS,low,2.85,0.0389,pois chiches
OREO GRIG VANILLE,1,OREO COOKIES VANILLA,low,2.7027,0.0711,oreo grig vanille
SPRITAIT FRAI,1,,none,0.0,0.0,spritait frai
SUZY CHOCO LAIT BP,1,HOT CHOCO LATE,low,2.625,0.0444,suzy choco lait bp
POIRES D'OLLE,1,,none,0.0,0.0,poires d olle
PAMPLEMOUSSE ROUGE,1,"ROUGE GOURMET CHEESE, ROUGE",low,2.9545,0.0056,pamplemousse rouge
SRI MARZANO,1,S. MARZANO TOMATO,low,3.1667,0.086,sri marzano
NOSTAL CONF FIGUES,1,MISSION FIGS-FIGUES,low,2.5946,0.1303,nostal conf figues
ORANGES 4P,1,ORANGES,high,99.0,99.0,oranges
HG DETACH SPEC 1,1,2OZ MILKCARTON GOLDFISH SPEC PACKS,low,2.8333,0.1282,hg detach spec
ITAL STYLE GRAINS,1,ASIAN BBQ-STYLE 7 WHOLE GRAINS,low,4.6383,0.1298,ital style grains
HUMOUS MAXI,1,,none,0.0,0.0,humous maxi
POIVRON ROUGE,1,COCOA ROUGE COCOA POWDER,low,2.9324,0.0222,poivron rouge
POISSON NUGGETS,1,GHOSTS NUGGETS,low,3.2586,0.0179,poisson nuggets
HMC COR,1,"ON-COR, CHICKEN PATTIES",low,2.7759,0.0536,hmc cor
SCHWEPPES TON,1,"SCHWEPPES, TONIC WATER",low,3.2647,0.098,schweppes ton
HGK RCH PG MCH,1,BCrck Rch&Crmy MlkChoc Frstng,low,2.4651,0.0365,hgk rch pg mch
HG SCHIMMELVLEKENRE,1,,none,0.0,0.0,hg schimmelvlekenre
HG DETACH SPEC 7,1,2OZ MILKCARTON GOLDFISH SPEC PACKS,low,2.8333,0.1282,hg detach spec
HG DET ECL CARREL,1,,none,0.0,0.0,hg det ecl carrel
POINTS SUR MONTANT DES ACHATS,1,BIG SUR BREAKFAST BURRITOS,low,1.9636,0.0303,points sur montant des achats
SERVIETTE PAQUES,1,,none,0.0,0.0,serviette paques
SERVIETTES 33CM,1,,none,0.0,0.0,serviettes
SH A DEL MEN PURE,1,"MI-DEL, GINGERBREAD MEN, GINGER",low,4.4348,0.0197,sh a del men pure
ORALB ENAMEL 1+1,1,,none,0.0,0.0,oralb enamel
HERTA MINI PI,1,,none,0.0,0.0,herta mini pi
HERTA LRDS NATUR,1,NATUR LIQUID SEASONING,low,2.2632,2.2632,herta lrds natur
SHRIMY MACASSOU,1,,none,0.0,0.0,shrimy macassou
SN 80836950,1,,none,0.0,0.0,sn
HERTA LRDNS NAT,1,"Whole Grain Yellow Star Cookie, IW all nat",low,2.3929,0.0673,herta lrdns nat
SOMA CHOCOLAT BIO,1,CHOCOLAT NOIR,low,3.1667,0.0267,soma chocolat bio
GUAC MEUS NOI,1,"SPICY GUAC MIX, SPICY",low,2.4848,0.0021,guac meus noi
T NOIR DE NOIR C.DO,1,COTE D'OR NOIR DE NOIR CHOCOLATE TABLET DARK,low,4.5714,0.1033,t noir de noir c do
JEUNE POUSE MIX,1,HUNTER'S MIX,low,2.6667,0.0,jeune pouse mix
VELDSLAA,1,,none,0.0,0.0,veldslaa
GALBANI RICOTTA 25,1,"GALBANI, RICOTTA CHEESE",low,5.8108,0.1586,galbani ricotta
GALBANI MOZZA 125G,1,"GALBANI, MOZZARELLA CHEESE",low,5.8372,0.1025,galbani mozzarella
VERMICEL LAIT,1,PAIN AU LAIT,low,2.98,0.0063,vermicel lait
