delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
"4 X 1,39",4 x 1 39,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2","Paczki, Lemon, Retail, 4 Pack, 4 x 2",False
"4 X 1,89",4 x 1 89,RIGATONI 89,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2",False
4 X 1L APEROL,4 x aperol,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2","Paczki, Lemon, Retail, 4 Pack, 4 x 2",False
400G BICARBONATE,bicarbonate,,,,False
400G DLI PATE NOIS,dli pasta nois,PASTA,PASTA,PASTA,False
400G DLL PATE NOI,dll pasta noi,PASTA,PASTA,PASTA,False
400G DLL PATE NOIS,dll pasta nois,PASTA,PASTA,PASTA,False
400G EXQUISE BAG,exquise bag,BAG O POPS,BAG O POPS,BIG BAG MINIS,False
400G HEBEI LOOPS,hebei loops,"FROOT LOOPS FLAVORED GUMMIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS",False
400G HONEY LOOPS,honey loops,"OAT LOOPS WITH HONEY CEREAL, HONEY","FROOT LOOPS FLAVORED GUMMIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS",False
400G MUC DUCHE DDL,muc duche ddl,Kho Muc Dried Squid 100g,,,False
400G NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
400G PATE NOI CRU,pasta noi cru,GRAND CRU OLIVE OIL,RODENBACH Grand Cru 33cl,RODENBACH Grand Cru 75cl,False
400G PATE NOIS CRU,pasta nois cru,GRAND CRU OLIVE OIL,RODENBACH Grand Cru 33cl,RODENBACH Grand Cru 75cl,False
400G SAUMON FUM NOR,salmon fum nor,"NOR CAL RAW & UNFILTERED HONEY, NOR CAL","NOR CAL RAW & UNFILTERED HONEY, NOR CAL",SALMON,False
400G TOM.CRISES,tom crises,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400G TRAGSTE BROOD P,tragste brood p,P & P LOAF,S + P BLEND,"P & P LOAF MADE WITH CHICKEN, BEEF, PORK",False
400GR TOM CERISES,400gr tom cherry,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400GR TOM.CRISES,400gr tom crises,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400ML LAIT DE COCO,milk de coco,LECHE DE COCO COCONUT MILK,COCONUT MILK DRINK WITH NATA DE COCO,CRME DE COCONUT FILLED MILK CHOCOLATE,False
40G DLL PATE NOI,dll pasta noi,PASTA,PASTA,PASTA,False
40G MELANGE 5 BAIE,melange 5 baie,"MELANGE PEPPERCORN, MELANGE",FRUIT MELANGE,PEPPERCORN MELANGE,False
450001507142,450001507142,,,,False
450G DIL BOIS BIOL,dil bois biol,SUPER JUMBO DIL PICKLE,,,False
450G DLL POIS BIOL,dll peas biol,PEAS,PEAS,PEAS,False
450G DLT FOIS BIOL,dlt fois biol,,,,False
450G MINI ROSTI,mini rosti,ROSTI,"MINI BROWNIES WITH FROSTING, MINI BROWNIES",MINI BROWINES WITH FROSTING,False
450G NESQUIK CEREA,nesquik cerea,NESQUIK Vanilla Lowfat Milk 14 fl oz Bottle,NESQUIK Vanilla Lowfat Milk 14 fl oz Bottle,,False
450G NESSTIX CEREA,nesstix cerea,,,,False
450G QUAK MEUS NOI,quak meus noi,,,,False
450G QUAK MUE MULT,quak mue mult,,,,False
450G SKYR NATURE,skyr nature,SKYR,SKYR SMOOTHIE,TRADITIONAL SKYR,False
4OOG NUTELLA,4oog nutella,NUTELLA FERRERO WITH BREADSTICKS,FILLED WITH NUTELLA CRISPY WAFER,FILLED WITH NUTELLA CRISPY WAFER,False
4X125GR ACTIVIA Y.,4x125gr activia y,ACTIVIA PROBIOTIC DRINK,CHOCOLATE Y FRESA,DULCES Y BOTANAS,False
4X4G DOUBLE LAIT,4x4g double milk,DOUBLE DIPPERS MILK CHOCOLATE,MILK CHOCOLATE DOUBLE DIPPERS,DOUBLE CHEESEBURGER,False
4X50G DLL PAIN BIO,4x50g dll bread bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,BREAD,False
500 POCHETTES PERF,500 pochettes perf,"MVSPNG WATER,SPARKLING,GLASS 500 ML","PEPSI SODA, 500 ML",CADBURY CHOCOLATE DRINK 500 GR,False
500G COUSCOUS PERL,couscous perl,COUSCOUS,COUSCOUS,COUSCOUS,False
500G DE CECCO GNOC,de cecco gnoc,"DE CECCO, POTATO GNOCCHI NO. 401",Atole de avena,Atole de chocolate,False
500G DE CECCO RADI,de cecco radi,Atole de avena,Atole de chocolate,CALDO DE CAMARON,False
500G DLL BIO SPAGH,dll bio spagh,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
500G ESRP GRAINS,esrp grains,ANCIENT GRAINS,ANCIENT GRAINS,SUPER GRAINS,False
500G MACCHERONI,maccheroni,"VODKA MACCHERONI SAUCE, VODKA MACCHERONI","ITALIAN MACARONI PRODUCT, MACCHERONI","VODKA MACCHERONI SAUCE, VODKA",False
500G MIX 7 LAIT CHO,mix 7 milk cho,HOT SAUCE PIMENT CHO,7 CAKE,PEANUT BUTTER 7 MILK CHOCOLATE,False
500G PEST AL EBR,pest al ebr,"AL PASTOR COOKING SAUCE, AL PASTOR","AL PASTOR TACO SEASONING, AL PASTOR","DAIS, COOKIES, AL MANDARINO, AL MANDARINO",False
500G ROMB DESSERT,romb dessert,DESSERT,DESSERT,ALMOND DESSERT,False
500G SP 3X LAIT CHO,sp 3x milk cho,HOT SAUCE PIMENT CHO,SALMON ROLL SP,3X CONCENTRATE COLD BREW COFFEE,False
500G SP K LAIT CHO,sp k milk cho,"MILK CHOCOLATE SPOON, MILK CHOCOLATE","MILK CHOCOLATE SPREAD, MILK CHOCOLATE","SPONGEBOB SQUAREPANTS, MILK CHOCOLATE, MILK",False
500GR L RIS GRAI,500gr l ris grai,LAUREL- LAURUS NOBLIS L,1 L BOTTLE PEACH SELTZER,1 L BOTTLE PEACH SELTZER,False
500ML BECEL HUILE,becel oil,OIL,ALMOND OIL,ALMOND OIL,False
500ML DLL MAYO OEU,dll mayo oeu,MAYO,MAYO,MAYO,False
500ML ERA SIRO BIO,era siro bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
500ML HEINZ KETCH,heinz ketch,HEINZ TOMATO KETCHUP,HEINZ TOMATO KETCHUP,"POTATO CHIPS, HEINZ KETCHUP",False
500ML OLIV EX,oliv ex,GF MIX EX CHED PRETZ RESEAL,HSW Fh Bratwurst ex wt 6/1.25#,11.5OZ GF MIX EX CHED PRETZ RESEAL,False
50C COCA COLA REG.,50c coca cola reg,COLA,COLA,COLA,False
50CC SQC CANE C FT,50cc sqc cane c ft,C LOAF,DR. C,GOLDEN C PURE CANE BROWN SUGAR,False
580G CHOCOS,chocos,,,,False
5G SM SAFFRAN,sm saffran,Dill Plank Sm 3/16,BC SM ButterRecipe Yellow CkMx,VERY VEGGIE PLATTER SM BR,False
"6 BOULES X 3,75/ KG",6 boules x 3 75 kg,3 X 3 BREAKFAST BURRITO,"Brioche, Hamburger Roll, 3 x 3","Brioche, Hamburger Roll, 3 x 3",False
6 PAINS HAMBURGER,6 pains hamburger,HAMBURGER,HAMBURGER,HAMBURGER,False
6 SM WRAP TORTILLA,6 sm wrap tortilla,TORTILLA WRAP KIT,BREAKFAST WRAP,CLUB WRAP,False
6 WHARS DE BLE,6 whars de wheat,6 WHOLE WHEAT ROLLS,6 WHOLE WHEAT TORTILLAS,CHICHARRON DE HARINA WHEAT PELLETS,False
6 WRAPS DE BLE,6 wrap tortilla de wheat,TORTILLA WRAP KIT,WHEAT TORTILLA,"WHEAT TORTILLA WRAPS, WHEAT",False
600G DFL POMME PIN,dfl apple pin,"VIDERI, TWO PIN PEPPERCORN CHOCOLATE BARS",APPLE,APPLE,False
600G GAUFFRE POT,gauffre pot,POT PIE,POT PIE,POT PIE,False
600G PM DUCH DIL,pm duch dil,SUPER JUMBO DIL PICKLE,,,False
600G POM DUCH DLL,pom duch dll,"BLUE POM ACAI YERBA MATE, BLUE POM ACAI",FUJI POM BLEND JUICE,V8 ENGY POM BLUE,False
60G MEDIT HERB MIX,medit herb mix,"GREEK YOGURT DIP MIX, MEDITERRANEAN HERB",HERB MIX,HERB FLOWERS MIX,False
60ML TAB PIME ROUG,tab pime roug,SJ GNT TAB 2/24/.97Z,SJ MNSTR TAB 2/18/1.94Z,MAGGI Chicken Bouillon Tab 12ct Carton,False
6BC POMME PINK LAD,6bc apple pink lad,"PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE",False
6PC POMME PINK LAD,6pc apple pink lad,"PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE",False
6PC POMME PINK LADY,6pc apple pink lady,"PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE",False
6PC PUREE BELGE,6pc puree belge,PUREE,PUREE,BASIL PUREE,False
6X1L SANPELLEGRINO,6x1l sparkling water,SPARKLING WATER,SPARKLING WATER,SPARKLING WATER,False
6X25CL APPLETISER,6x25cl appletiser,,,,False
6X25CL CRISTAL ORI,6x25cl cristal ori,CRISTAL BAGEL BUN,HONEY + AJI CRISTAL,SEA SALT FINE CRISTAL,False
6X25CL JUPILER 0.6E,6x25cl jupiler 0 6e,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
6X25CL JUPILER BAS,6x25cl jupiler bas,CPB HS HR TOM BAS,CPB NAT TOM W BAS,WY SIP TOM SWT BAS,False
6X33 SCHWEPPES LEM,6x33 tonic water lem,TONIC WATER,TONIC WATER,TONIC WATER,False
6X33C CANADA DRY,6x33c canada dry,CANADA CANDY,CANADA MINTS,CANADA MINTS,False
6X33CL 7UP,6x33cl 7up,"7UP LEMON LIME CAKE, LEMON LIME",,,False
6X33CL CANADA DRY,6x33cl canada dry,CANADA CANDY,CANADA MINTS,CANADA MINTS,False
6X33CL HOEG 0.0 CA,6x33cl hoeg 0 0 ca,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
6X33CL LEFFE 0.0 C,6x33cl leffe 0 0 c,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
6X33CL SCH GINGER,6x33cl sch ginger,GINGER,GINGER,GINGER,False
6X33CL SCHWEPPES M,6x33cl tonic water m,TONIC WATER,TONIC WATER,TONIC WATER,False
6X33CL SCHWEPPES T,6x33cl tonic water t,TONIC WATER,TONIC WATER,TONIC WATER,False
6X55ML MAGNUM ALMO,6x55ml magnum almo,,,,False
6XSCHWEPPES MOJITO,6xschweppes mojito,Mojito,"MOJITO PASTILLES, MOJITO","MOJITO COCKTAIL MIXER, MOJITO",False
70G PATE CURRY JAU,pasta curry jau,CURRY,CURRY,CURRY,False
75 CROZES HERM GAL,75 crozes herm gal,GAL GAL CRACKERS,"ONION GAL GAL CRACKERS, ONION GAL GAL","GAL GAL CRACKERS, ORIGINAL",False
75 NUVOOLA 19R BIO,75 nuvoola 19r bio,ZOO BIO PASTA,ROTINI NO. 75 PASTA,ROTINI NO. 75 PASTA,False
75 ROSE MONTAUR18R,75 rose montaur18r,"ROSE WATER, ROSE","ROSE WATER, ROSE",ROTINI NO. 75 PASTA,False
750G DLL PATE NOI,dll pasta noi,PASTA,PASTA,PASTA,False
750G DLL SEL MA IO,dll salt ma io,"DAK'S SPICES, BLACKENED, LOOK MA NO SALT","MA BAENSCH, WINE SAUCE","MA COHEN'S, HORSERADISH SAUCE",False
750G MCC DUCHESSE,mcc duchesse,,,,False
750G NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
750G POMMES NOISET,apple noiset,APPLE,APPLE,APPLE,False
750G PUREE BELGE,puree belge,PUREE,PUREE,BASIL PUREE,False
750G ROSET,roset,,,,False
750G ROSTY,rosty,,,,False
75CL PROSECCO DOC,75cl prosecco doc,RODENBACH 75cl,"DOC POP PREBIOTIC SODA, DOC POP","PROSECCO WINE VINEGAR, PROSECCO",False
75G CHIPS POIS BIO,potato chips peas bio,POTATO CHIPS,POTATO CHIPS,POTATO CHIPS,False
800G HARIC VER COU,haric ver cou,APRCT RSBRY VER,,,False
80G PROSC PARMA,prosc parma,DI PARMA PROSCIUTTO,PROSCIUTTO DI PARMA,PROSCIUTTO DI PARMA,False
"9 X 1,45",9 x 1 45,"Knot, Garlic, 1.0 oz., 2.5 x 1","Pancake, Bites, Poffitz, Bulk, 1.75 x 1",112 MINI CONE NEUTRAL SESAME 3 x 1,False
ACDC FILET POULET,acdc filet chicken,CHICKEN BREAST FILET,FILET MIGNON,TENDERLOIN FILET,False
ACTIV 4X125 0% FRA,activ 4x125 0 fra,0,"FRA D'AVOLO SAUCE, FRA D'AVOLO","FRA DIAVLO SAUCE, FRA DIAVLO",False
ACTIVIA MAXI MA,activia maxi ma,ACTIVIA PROBIOTIC DRINK,ACTIVIA GREEK NONFAT YOGURT,"MA BAENSCH, WINE SAUCE",False
ACTIVIA YOG ENT NA,activia yog ent na,ACTIVIA PROBIOTIC DRINK,ACTIVIA GREEK NONFAT YOGURT,ACTIVIA LT BLUE/STR/PCH 24X40Z CLUB,False
AIGUILLETTE DINDE,aiguillette turkey,TURKEY,TURKEY,TURKEY,False
ANCIENT SOLDE DE POINTS,ancient solde de points,ANCIENT GRAIN,ANCIENT GRAINS,ANCIENT GRAINS,False
APPEL PINK LADY 6P,appel pink lady 6p,"PINK LADY APPLES, PINK LADY","PINK LADY MICHIGAN APPLES, PINK LADY","PINK LADY ORGANIC APPLES, PINK LADY",False
APPRE PINEA LADY 6P,appre pinea lady 6p,LADY FINGERS,LADY FINGERS,LADY FINGERS,False
AUBEL BEURRE 500G,aubel butter,BUTTER,BUTTER,BUTTER,False
AUBER BEURRE 500G,auber butter,BUTTER,BUTTER,BUTTER,False
AUBERGINE GRAFFITI,eggplant graffiti,EGGPLANT,EGGPLANT,"EGGPLANT BABAGANUSH, EGGPLANT",False
AUBERGINES,eggplant,EGGPLANT,EGGPLANT,"EGGPLANT BABAGANUSH, EGGPLANT",False
AVANTAGES,avantages,,,,False
AVANTAGES MANGUE,avantages mango,MANGO,MANGO,MANGO,False
AVOCAI,avocai,,,,False
AVOCAT,avocado,AVOCADO,AVOCADO,"AVOCADO CHUNKS, AVOCADO",False
BAGUETTE BEAU,baguette beau,"BEAU MONDE SEASONING, BEAU MONDE","BEAU MONDE SEASONING, BEAU MONDE",BAGUETTE,False
BALADE CREME 1L,balade cream,CREAM,"CREAM BISCOFF, CREAM","CREAM CHEESE, CREAM",False
BANANEN,bananen,,,,False
BANANES,banana,BANANA,BANANA,"BANANA  MUFFINS, BANANA",False
BANCONTACT,bancontact,,,,False
BARILLA SPAGHETTI5,barilla spaghetti5,BARILLA WHOLE GRAIN LINGUINE,"ACADEMIA BARILLA, FARFALLE BARILLA PASTA","BARILLA MULINO BIANCO GALLETTI, 6.34 OZ",False
BASILIC 20G,basilic,,,,False
BASILIC EN POT BIO,basilic en pot bio,ZOO BIO PASTA,BRIE EN CROUTE,BRIE EN CROUTE,False
BATEIN ROUGE SA PE,batein rouge sa pe,"ROUGE GOURMET CHEESE, ROUGE",LAK SA PASTE,ROUGE WASHED-RIND CHEESE,False
BEBILIN POT BIO,bebilin pot bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,POT PIE,False
BECKMANN D. FRUITS,beckmann d fruits,FRUITS MIX,FRUITS PIES,FRUITS SNACKS,False
BECKMANN D.GRAISSE,beckmann d graisse,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
BEN RIZ COMPLET,ben rice complet,"PRESERVE, BEN LEAR CRANBERRY",RICE,RICE,False
BEURRE 500G,butter,BUTTER,BUTTER,BUTTER,False
BIG MEG 100GR,big meg 100gr,BIG BISCUIT,BIG BURRITO,BIG BURRITO,False
BIO 300 FM PEN PES,bio 300 fm pen pes,ZOO BIO PASTA,BOBBLE-HEAD PEN WITH CANDY,JELLY BEANS & PEN,False
BIO = BE-BIO-01,bio be bio 01,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO AIL 2 PC,bio garlic 2 pc,ZOO BIO PASTA,2 OLIVE ROASTED GARLIC SALSA,BIO ACTIVE MANUKA HONEY,False
BIO BANANE,bio banana,"BANANA LOWFAT YOGURT WITH PROBIOTICS, BANANA","BANANA LOWFAT YOGURT WITH PROBIOTICS, BANANA","LOWFAT YOGURT WITH PREBIOTICS, BANANA",False
BIO BANANEN,bio bananen,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
"BIO BANANEN 0,560 KG X",bio bananen 0 560 kg x,0,ZOO BIO PASTA,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,False
BIO BANANES,bio banana,"BANANA LOWFAT YOGURT WITH PROBIOTICS, BANANA","BANANA LOWFAT YOGURT WITH PROBIOTICS, BANANA","LOWFAT YOGURT WITH PREBIOTICS, BANANA",False
BIO BASILIC POT,bio basilic pot,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,POT PIE,False
BIO BAYANEN,bio bayanen,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO BE-BIO-01,bio be bio 01,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO BOEUF&PORC,bio beef pork,ZOO BIO PASTA,"PORK BEEF PATTIES, PORK",BEEF CHICKEN PORK,False
BIO CAPOTES,bio capotes,CAPERS CAPOTES,CAPOTES  CAPERS,CAPOTES CAPERS,False
BIO CAROTTES,bio carrot,ZOO BIO PASTA,"CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
BIO CAROTTES 100GR JEUNES POUSS,bio carrot 100gr jeunes pouss,ZOO BIO PASTA,"CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
"BIO CAROTTES 2,29",bio carrot 2 29,ZOO BIO PASTA,"CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
BIO CITRON 4PC,bio lemon 4pc,ZOO BIO PASTA,4PC COCONUT CREAM MOCHI,4PC SPICY SHRIMP INARI,False
BIO CITRON QC,bio lemon qc,ZOO BIO PASTA,15+ BIO ACTIVE MANUKA HONEY WITH LEMON,BIO ACTIVE MANUKA HONEY,False
BIO ECHALOTE,bio echalote,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO GINGEMBRE,bio gingembre,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO GOUTA TRANCHES,bio gouta tranches,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO GUACAMOLE DOUX,bio guacamole doux,GUACAMOLE,GUACAMOLE,GUACAMOLE,False
BIO HOMOUS 200G,bio homous,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO HOUMOUS 200G,bio hummus,HUMMUS,HUMMUS,HUMMUS,False
BIO HOUNMOUS 200G,bio hounmous,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO MINT,bio mint,"APPLE MINT PREBIOTIC KOMBUCHA, APPLE MINT","APPLE MINT PREBIOTIC KOMBUCHA, APPLE MINT",BLUEBERRY MINT PREBIOTIC SHOT,False
"BIO PDT DOUCE 0,560 KG X",bio pdt douce 0 560 kg x,0,ZOO BIO PASTA,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,False
BIO PDT FARINE 2KG,bio pdt flour,ZOO BIO PASTA,FLOUR,FLOUR,False
BIO PICCOLOS AVIONE,bio piccolos avione,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO PITTEMIX 150G,bio pittemix,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIO THYM,bio thym,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
BIOEATE CERISE GRAP,bioeate cherry grap,CHERRY,CHERRY,"CHERRY APPLESAUCE, CHERRY",False
BIOESCHE FILET POUL,bioesche filet poul,FILET MIGNON,TENDERLOIN FILET,BEEF FILET MIGNON,False
BIOGR MESCUN,biogr mescun,,,,False
BIS CREAM GLAC,bis cream glac,CREAM,"CREAM BISCOFF, CREAM","CREAM CHEESE, CREAM",False
BISCUITS BAGUE,biscuit bague,BISCUIT,BISCUIT,BISCUIT,False
BLE EMB 100GR,wheat emb 100gr,"WHEAT BREAD, WHEAT","WHEAT BREAD, WHEAT","WHEAT BREAD, WHEAT",False
BM 335C FRAMBOISE,bm 335c raspberry,RASPBERRY,RASPBERRY,"RASPBERRY APPLESAUCE, RASPBERRY",False
BM 335C RHUBARBE,bm 335c rhubarbe,,,,False
BM 335G FRAMBOISE,bm raspberry,RASPBERRY,RASPBERRY,"RASPBERRY APPLESAUCE, RASPBERRY",False
BM 335G RHUBARBE,bm rhubarbe,,,,False
BOI REP CURRY VERT,boi rep curry vert,HARICOT VERT,CURRY,CURRY,False
BOI REP LENT RO SO,boi rep lent ro so,"SO CHOCOLATE JIMMIES, SO CHOCOLATE","SO CHOCOLATE FLAVORED JIMMIES, SO CHOCOLATE",SO CHOCOLATE JIMMIES,False
BOI REP POTAGE PAN,boi rep potage pan,PAN BIGIO,PAN CHAPIN,PAN MEXICANO,False
BOITE POIREAU,boite leek,"LEEK CHEESE SPREAD, LEEK","LEEK RECIPE MIX, LEEK","POTATO LEEK SOUP, POTATO LEEK",False
BOITE REPAS POTAGE,boite repas potage,BRIE DE NANGIS PASTEURISE BOITE,CORN POTAGE SNACK / YAOKIN,,False
BOKMAAN DET. SANG,bokmaan det sang,KIMLAN SANG CHAU SOY SAUCE,"KIMLAN, LIGHT SANG CHAU SOY SAUCE",,False
BON DE REDUCTION,bon de reduction,STRAWBERRY BON BON,BALSAMIC REDUCTION,BALSAMIC REDUCTION,False
BOTTE POIREAU,botte leek,"LEEK CHEESE SPREAD, LEEK","LEEK RECIPE MIX, LEEK","POTATO LEEK SOUP, POTATO LEEK",False
BOURSIN POIVRE,boursin pepper,"BOURSIN, GOURNAY CHEESE, RED CHILI PEPPER",PEPPER,PEPPER,False
BROCHETTE PORC MA,brochette pork ma,"BROCHETTE SEASONING, BROCHETTE SEASONING",BROCHETTE SEASONING,SHRIMP BROCHETTE,False
BROCOLI,broccoli,BROCCOLI,BROCCOLI,BROCCOLI,False
BRU LEGPET,bru legpet,,,,False
BRUIN STOETBROOD KLEI,bruin stoetbrood klei,,,,False
BRUIN STOKBROOD KLEI,bruin stokbrood klei,,,,False
BRUNIR/SERVIR VEAU,brunir servir veal,"VEAL DUMPLINGS, VEAL","VEAL DEMI GLACE, VEAL",GROUND VEAL,False
BURGER 100 % DE BO,burger 100 de bo,BURGER,BURGER,BURGER,False
BURGER ANGUS,burger angus,ANGUS CHUCK STEAK BURGER,"ANGUS BURGERS, ANGUS","ANGUS CHEESEBURGER, ANGUS",False
BURGER LIMOUSIN,burger limousin,BURGER,BURGER,BURGER,False
BUTCHER BURGE,butcher burge,BUTCHER CUT PEPPER,BUTCHER CUT PEPPER,"BUTCHER BOY, CORN OIL",False
