delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
CAME FROM FR ENT,came from fr ent,"LAMB, RACK FR NZ 10/12","LAMB, RACK FR NZ 10/12","LAMB, RACK FR NZ 10/12",False
CAMP FROM FR ENT,camp from fr ent,CAMP FIRE SAUCE,SUMMER CAMP CAKE,CAMP S'MORES REGULAR MARSHMALLOWS,False
CAMP FROM FR ENTIE,camp from fr entie,CAMP FIRE SAUCE,SUMMER CAMP CAKE,CAMP S'MORES REGULAR MARSHMALLOWS,False
CANARD WC MARINE,canard wc marine,MARINE PURIFIED SALT,WILD MARINE BLUEBERRY,MARINE BOY BAKED SNACK,False
CARDBE BEURRE SALE,cardbe butter sale,GRISSINETTI CON SALE MARINO WITH SEA SALT,BUTTER,BUTTER,False
CARDBOARRE FT D,cardboarre ft d,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
CARLIS BEURRE FT D,carlis butter ft d,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
CARLIS BEURRE SALE,carlis butter sale,GRISSINETTI CON SALE MARINO WITH SEA SALT,BUTTER,BUTTER,False
CARLS BEURRE FT D,carls butter ft d,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
CARLS BEURRE SALE,carls butter sale,GRISSINETTI CON SALE MARINO WITH SEA SALT,BUTTER,BUTTER,False
CARLSB BEURRE FT D,carlsb butter ft d,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
CARLSB BEURRE SALE,carlsb butter sale,GRISSINETTI CON SALE MARINO WITH SEA SALT,BUTTER,BUTTER,False
CARLSB CREME ENT A,carlsb cream ent a,A,A PREMIUM ICE CREAM,GRADE A CULTURED CREAM,False
"CARLSB CREME ENT A 7,25",carlsb cream ent a 7 25,A,A PREMIUM ICE CREAM,GRADE A CULTURED CREAM,False
CARLSBERG BEURRE SALE,carlsberg butter sale,GRISSINETTI CON SALE MARINO WITH SEA SALT,BUTTER,BUTTER,False
CAROTTES,carrot,"CARROT CAKE, CARROT","CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
CAROTTES 500GR,carrot 500gr,"CARROT CAKE, CARROT","CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
CAROTTES BIO,carrot bio,ZOO BIO PASTA,"CARROT CAKE, CARROT","CARROT CAKE, CARROT",False
CARPACCIO,beef carpaccio,TRUFFLE CARPACCIO,SUMMER TRUFFLE CARPACCIO,CARPACCIO STYLE PLANT-BASED DELI SLICES,False
CELERI VERT,celery vert,HARICOT VERT,CELERY,CELERY,False
CEREQUICK 1000GR,cerequick 1000gr,,,,False
CERISE 1KG,cherry,CHERRY,CHERRY,"CHERRY APPLESAUCE, CHERRY",False
CHARCUTERIE,charcuterie,CHARCUTERIE,"CHARCUTERIE PLATE, CHARCUTERIE",CHARCUTERIE STICKS,False
CHAVROUX 150GR,chavroux 150gr,,,,False
CHEDDAR RAPE,cheddar rape,APPLE GRAPE CHEDDAR TRAY,"APPLES, GRAPES & WHITE CHEDDAR","WHITE CHEDDAR CHEESE, CRACKERS AND GRAPES",False
CHICKEN NUGGETS,chicken nuggets,CHICKEN NUGGETS,CHICKEN NUGGETS,CHICKEN NUGGETS,False
CHIPS 147G S&BL.PE,potato chips s bl pe,BLACK PEPPER POTATO CHIPS,BLACK PEPPER FLAVORED POTATO CHIPS,BLACK PEPPER & SEA SALT POTATO CHIPS,False
CHIQUITA C BANANES,chiquita c banana,"CHIQUITA, BANANA BREAD MIX",C LOAF,DR. C,False
CHOU POINTU HACHE,cabbage pointu hache,"HACHE ORGANIC SUNFLOWER, HACHE",ORGANIC SUNFLOWER HACHE,"CABBAGE SOUP, CABBAGE",False
CHOU-FLEUR,cabbage fleur,"CABBAGE SOUP, CABBAGE","CABBAGE SOUP, CABBAGE",FLEUR DE SEL,False
CHOUX CHINOIS,choux chinois,,,,False
CHOUX DE BRUX 750G,choux de brux,Atole de avena,Atole de chocolate,CALDO DE CAMARON,False
CIABATTA,ciabatta,CIABATTA,CIABATTA,CIABATTA,False
CIBOULETTE BIO,ciboulette bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
CINEMA 7 1/2 PRIX,cinema 7 1 2 prix,"CINEMA PLANT-BASED POPCORN, CINEMA","CINEMA MIX GUMMY CANDY, CINEMA MIX","SIMPLY CINEMA HEALTHY POPCORN, SIMPLY CINEMA",False
CITRON 500G,lemon,LEMON,"LEMON BAR, LEMON","LEMON BAR, LEMON",False
CITRON VERT,lemon vert,HARICOT VERT,GREEN ONIONS OIGNONS VERT,HARICOT VERT BABY FRENCH BEANS,False
CITRON VERT 500G,lemon vert,HARICOT VERT,GREEN ONIONS OIGNONS VERT,HARICOT VERT BABY FRENCH BEANS,False
CITRONS,lemon,LEMON,"LEMON BAR, LEMON","LEMON BAR, LEMON",False
CITRONS 500G,lemon,LEMON,"LEMON BAR, LEMON","LEMON BAR, LEMON",False
CLEMENTINES A FEU,clementine a feu,CLEMENTINE,"CLEMENTINE MARMALADE, CLEMENTINE","CLEMENTINE ORGANIC MARMALADE, CLEMENTINE",False
CLEMENTINES A FEUI,clementine a feui,CLEMENTINE,"CLEMENTINE MARMALADE, CLEMENTINE","CLEMENTINE ORGANIC MARMALADE, CLEMENTINE",False
"CLEMENTINES A FEUT 1,105 KG",clementine a feut 1 105 kg,CLEMENTINE,"CLEMENTINE MARMALADE, CLEMENTINE","CLEMENTINE ORGANIC MARMALADE, CLEMENTINE",False
CLEMENTINES FEUIL,clementine feuil,CLEMENTINE,"CLEMENTINE MARMALADE, CLEMENTINE","CLEMENTINE ORGANIC MARMALADE, CLEMENTINE",False
CLEMENTINES FEUILL,clementine feuill,CLEMENTINE,"CLEMENTINE MARMALADE, CLEMENTINE","CLEMENTINE ORGANIC MARMALADE, CLEMENTINE",False
COCIGRETTES,cocigrettes,,,,False
COCKTAIL GRAPE TO,cocktail grape to,"TOPS, CONCORD JUICE COCKTAIL, GRAPE","TOPS, CONCORD JUICE COCKTAIL, GRAPE, GRAPE",GRAPE JUICE COCKTAIL,False
COCKTAIL GRAPPE TO,cocktail grappe to,COCKTAIL,COCKTAIL,COCKTAIL,False
COCOTTE GRAPPE TO,cocotte grappe to,"BACN,DICED,RDY TO COOK,3/10#,Z","BACN,DICED,RDY TO COOK,3/10#,Z","BACN,DICED,RDY TO COOK,3/10#,Z",False
COEUR DOUX LIT GEM,coeur doux lit gem,CHOCOLATE GEM DONUTS,ICED GEM COOKIES,ICED GEM COOKIES,False
COLIMBUS OEUFS 5+1,colimbus eggs 5 1,1 DOZEN FARM FRESH EGGS,1 DOZEN FARM FRESH EGGS,EGGS,False
COLUMBUS OEUFFS 6PC,columbus oeuffs 6pc,"COLUMBUS PROSCIUTTO, 3 OZ","COLUMBUS PROSCIUTTO, 3 OZ","COLUMBUS CHARCUTERIE SAMPLER, 12 OZ",False
COLUMBUS OEUFS 6PC,columbus eggs 6pc,EGGS,EGGS,EGGS,False
CON VITRAGE,con vitrage,CON AZAFRAN,"CON QUESO DIP, CON QUESO","CON QUESO SALSA, CON QUESO",False
CONC DE POULET,conc de chicken,SWN CONC CKN BRTH 8FO,SWN CONC BF FLVRD BRTH 8FO,PICO DE GALLO CHICKEN STARTER KIT,False
CONCOMBRE 4PC,cucumber 4pc,"CUCUMBER HUMMUS, CUCUMBER","CUCUMBER LEMONADE, CUCUMBER","CUCUMBER LIMEADE, CUCUMBER",False
CONF. NOSTALGIE,conf nostalgie,,,,False
CONF.NOSTALGIE,conf nostalgie,,,,False
CONF.NOSTALGIE MA,conf nostalgie ma,"MA BAENSCH, WINE SAUCE","MA COHEN'S, HORSERADISH SAUCE",SPICY MA LA SAUCE,False
CONFERENCE 4PC,conference 4pc,4PC COCONUT CREAM MOCHI,4PC SPICY SHRIMP INARI,4PC COCONUT CREAM MOCHI SAMPLER,False
CONFRENCE 4PC,confrence 4pc,4PC COCONUT CREAM MOCHI,4PC SPICY SHRIMP INARI,4PC COCONUT CREAM MOCHI SAMPLER,False
CONTFEILLET,contfeillet,,,,False
COOP HOUMOUS,coop hummus,COOKIE COOP KIT,"CHICKEN COOP COOKIE HOUSE KIT, CHICKEN COOP","CHICKEN COOP COOKIE HOUSE KIT, CHICKEN COOP",False
COPPA,coppa,COPPA,COPPA,COPPA,False
COQUETTES,coquettes,,,,False
CORIANDRE BIO,coriandre bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
CORNE CHOCO 200G,corne choco,"CHOCO BISCUIT, CHOCO","CHOCO BISCUIT, CHOCO","CHOCO BISCUIT, CHOCO",False
COULEMUS OEUVS 6PC,coulemus oeuvs 6pc,,,,False
COURGETTES,zucchini,ZUCCHINI,"ZUCCHINI BAKE, ZUCCHINI","ZUCCHINI BREAD, ZUCCHINI",False
"COURGETTES 0,995 KG X 2,99/ KG",zucchini 0 995 kg x 2 99 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
"COURGETTES 1,525 KG X",zucchini 1 525 kg x,ZUCCHINI,"ZUCCHINI BAKE, ZUCCHINI","ZUCCHINI BREAD, ZUCCHINI",False
COUSTRON ROUGE,coustron rouge,"ROUGE GOURMET CHEESE, ROUGE",ROUGE WASHED-RIND CHEESE,"VIN ROUGE RED WINE VINAIGRETTE, VIN ROUGE",False
CREME 20 CL,cream 20 cl,CKY CL CHN ND-EZ,RIBEYE STK BNLS CL 16OZCH,RIBEYE STK BNLS CL 16OZCH,False
CREME ENAMEL 1+1,cream enamel 1 1,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,False
CRUNCH NO/CAC,crunch no cac,CACAO COCONUT QUINOA CRUNCH,"CRUNCH BARS, CRUNCH","CRUNCH DONUTS, CRUNCH",False
D&L BEURRE BIO,d l butter bio,"PROBIOTIC BAR, HONEY, ALMOND, BUTTER",GoodBelly Cocoa Peanut Butter Probiotic Bar,GoodBelly Cocoa Peanut Butter Probiotic Bar,False
D&L MAYO TD,d l mayo td,MAYO,MAYO,MAYO,False
D365 CREME 20 CL,d365 cream 20 cl,CKY CL CHN ND-EZ,RIBEYE STK BNLS CL 16OZCH,RIBEYE STK BNLS CL 16OZCH,False
D3G5 SAES BOUB 30L,d3g5 saes boub,,,,False
D4L SG BRAZIL,d4l sg brazil,"BRAZIL NUTS, BRAZIL","BRAZIL NUTS, BRAZIL","BRAZIL NUTS, BRAZIL",False
DACS 200 BAT OUATE,dacs 200 bat ouate,BAT BROWNIES,BROWNIES BAT,200 MINTS,False
DALI HUILE OLIV EX,dali oil oliv ex,OIL,GF MIX EX CHED PRETZ RESEAL,HSW Fh Bratwurst ex wt 6/1.25#,False
DANONE ACT 0% SX,danone act 0 sx,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
DANONE ACT FRAISES,danone act strawberry,ACT II Butter,STRAWBERRY,STRAWBERRY,False
DANONE COT CH 400G,danone cot ch,38OZ CH PORTERHOUSE,38OZ CH PORTERHOUSE,38OZ CH PORTERHOUSE,False
DANONE SKYR FRAISE,danone skyr strawberry,SKYR,Isey Skyr Skyr Strawberry 170g,Isey Skyr Strawberry 350g,False
DANONE SKYR NAT 4X,danone skyr nat 4x,SKYR,SKYR SMOOTHIE,TRADITIONAL SKYR,False
DAONNE ACT FRAISES,daonne act strawberry,ACT II Butter,STRAWBERRY,STRAWBERRY,False
DE CECCO CASARECCI,de cecco casarecci,Atole de avena,Atole de chocolate,CALDO DE CAMARON,False
DEL FROMAGE MAIGRE,del cheese maigre,"ORO DEL TEMPO, PIAVE CHEESE",DEL DUCA PROSCIUTTO,"DEL DUCA, PROSCIUTTO",False
DEL JAM CUT DEGR,del jam cut degr,JAM,JAM,JAM,False
DELTO VEG CHIC CUR,delto veg chic cur,CRINKLE CUR CARROTS,CRAZY CHIC SEASONING,ROASTED-SALTED CHIC PEAS,False
DES DE FILET THAI,des de filet thai,CREMEUX DES CITEAUX,FILET MIGNON,TENDERLOIN FILET,False
DES DE POULET,des de chicken,CHICKEN ENCHILADAS VERDES,CHICKEN ENCHILADAS VERDES,CREMEUX DES CITEAUX,False
DES POULET,des chicken,CHICKEN ENCHILADAS VERDES,CHICKEN ENCHILADAS VERDES,CREMEUX DES CITEAUX,False
DESSERT FRAICHE,dessert fraiche,CREME FRAICHE,CREME FRAICHE,"CREME FRAICHE RICH SOUR CREAM, CREME FRAICHE",False
DIEP ASELIN,diep aselin,,,,False
DIK STOKBROOD,dik stokbrood,,,,False
DIKKE AJUIN,dikke ajuin,,,,False
DIKKE PREI BUSSEL,dikke prei bussel,,,,False
DILL FOCACCIA BAS T,dill focaccia bas t,FOCACCIA,FOCACCIA,FOCACCIA,False
DILLE,dille,,,,False
DINOSAURE CEREALE,dinosaure cereal,CEREAL,CEREAL,CEREAL,False
DINOSAURUS CHOCOLA,chocolate cookies chocola,CHOCOLATE COOKIES,CHOCOLATE COOKIES,CHOCOLATE COOKIES,False
DIXMONT BEUR 250G,dixmont beur,,,,False
DLC PAIN BIO,dlc bread bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,BREAD,False
DLC TRESOR MILK,dlc tresor milk,MILK,MILK,MILK,False
DLH BEURRE BIO,dlh butter bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
DLH PARM REGG AOP,dlh parm regg aop,"PARM SALAD CRISPS, PARM","PARM SALAD CRISPS, PARM",GRUYERE AOP CHEESE,False
DLI PIZZA MARGH,dli pizza margh,PIZZA,PIZZA,PIZZA,False
DLL 1KG LG RIZ BRU,dll lg rice bru,LG EGG BOWS,VERY VEGGIE PLATTER LG BR,VERY VEGGIE PLATTER LG WR,False
DLL 9R PAPIER WC,dll 9r papier wc,PAPIER MACHE EGG WITH SALT CARAMEL PRESENTS,,,False
DLL BIO CREME GLAC,dll bio cream glac,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
DLL BIO FT CREME G,dll bio ft cream g,ZOO BIO PASTA,"HONEY G CRAFT GIARDINIERA, HONEY G",G FUEL PEWDIEPIE,False
"DLL BIO OEUFS 6PC 2,95",dll bio eggs 6pc 2 95,2 HARD COOKED PEELED EGGS,ZOO BIO PASTA,EGGS,False
DLL BIO OEUVS 12PC,dll bio oeuvs 12pc,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,12PC VEGETARIAN ROLL QBR,False
DLL BOMBE DUCHESSE,dll bombe duchesse,,,,False
DLL CREME FRAICHE,dll creme fraiche,CREME FRAICHE,CREME FRAICHE,"CREME FRAICHE RICH SOUR CREAM, CREME FRAICHE",False
DLL CREME LL,dll cream ll,CREAM,"CREAM BISCOFF, CREAM","CREAM CHEESE, CREAM",False
DLL FR DEMI ECREME,dll fr demi ecreme,DEMI BAGUETTE,"DEMI BAGUETTE ARTISAN, DEMI BAGUETTE","DEMI BAGUETTE BREAD, DEMI BAGUETTE",False
DLL GIRA FROM,dll gira from,GIRA NON-ALCOHOLIC MALT BEVERAGE,APPLE FROM CONCENTRATE,BEVERAGE FROM CONCENTRATE,False
DLL MAYO TD,dll mayo td,MAYO,MAYO,MAYO,False
DLL OEUFFS BIO MIX,dll oeuffs bio mix,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
DLL OEUFS BIO MIX,dll eggs bio mix,ZOO BIO PASTA,EGGS,EGGS,False
DLL OEUVS BIO MIX,dll oeuvs bio mix,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
DLL PAP. CUISSON,dll pap cuisson,,,,False
DLL PIZZA MARGH,dll pizza margh,PIZZA,PIZZA,PIZZA,False
DLL POULES POUSS,dll poules pouss,,,,False
DLL PUREE POMME DE,dll puree apple de,PUREE,PUREE,HEALTHY SNACK APPLE PUREE,False
DLL SAMOURAI TD,dll samourai td,,,,False
DLL TOA CHEST,dll toa chest,,,,False
DLL TRESOR BASIL,dll tresor basil,BASIL,BASIL,BASIL,False
DLL YA MAIG NAT 8X,dll ya maig nat 8x,YA YA'S GREEK DRESSING,CPB NAT NECC,NAT APL JCE,False
DOC APEROL,doc aperol,"DOC POP PREBIOTIC SODA, DOC POP",,,False
DOC PROSECCO DOC,doc prosecco doc,"DOC POP PREBIOTIC SODA, DOC POP","PROSECCO WINE VINEGAR, PROSECCO","PROSECCO BEARS CANDY, PROSECCO BEARS",False
DOL PIZZA MARGH,dol pizza margh,PIZZA,PIZZA,PIZZA,False
DORITOS NACHO CHEE,doritos nacho chee,DORITOS NACHO CHEESE FLAVORED POPCORN,.75OZ DORITOS NACHO,.75OZ DORITOS NACHO,False
DOS DE CABILLAUD,dos de cod,COD,COD,COD,False
DRAAIGATS,draaigats,,,,False
DRAAKJES,draakjes,,,,False
DRAGAS,dragas,,,,False
DU COTE DE LA VRAIE VIE,du cote de la vraie vie,"DE LA CASA SOPES, DE LA CASA",COTE D'OR NOIR DE NOIR CHOCOLATE TABLET DARK,COTE D'OR NOIR DE NOIR CHOCOLATE TABLET DARK,False
DUL CAMOMILE DOUX,dul camomile doux,"DOUX SOUTH, CREOLE MUSTARD","DOUX SOUTH, PICKLED BLACK-EYED PEAS","DOUX SOUTH, SPICY CUCUMBER PICKLES",False
DUN STOKBROOD,dun stokbrood,"DUN MORE FLAVORED 100% CHEESE, DUN MORE",,,False
DUN STOKERBROOD,dun stokerbrood,"DUN MORE FLAVORED 100% CHEESE, DUN MORE",,,False
DUO FRAMBOISE MY,duo raspberry my,"RASPBERRY DUO SUGAR FREE MINTS, RASPBERRY",DUO POTATOES,"PEPPERONI DUO FLATBREAD, PEPPERONI DUO",False
DUO PACK PINK LADY,duo pack pink lady,"PINK LADY APPLES, PINK LADY","PINK LADY MICHIGAN APPLES, PINK LADY","PINK LADY ORGANIC APPLES, PINK LADY",False
DUPACK PINK LADY,dupack pink lady,"PINK LADY APPLES, PINK LADY","PINK LADY MICHIGAN APPLES, PINK LADY","PINK LADY ORGANIC APPLES, PINK LADY",False
DUYVIS CRAC A,duyvis crac a,A,GRADE A,A COMPLETE BREAKFAST,False
ECHALOTES 500G,echalotes,,,,False
ECHAPPE 500G,echappe,,,,False
ECHAUTES 500G,echautes,,,,False
EGGS 6PC,eggs 6pc,EGGS,EGGS,EGGS,False
ELEC CHEQ REPAS,elec cheq repas,,,,False
ELVEA TOM PEL CUBE,elvea tom pel cube,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,CUBE BOUILLON,False
EM 335G FRAISE,em strawberry,"STRAWBERRY LEMONADE, STRAWBERRY","STRAWBERRY LEMONADE, STRAWBERRY","STRAWBERRY LEMONADE, STRAWBERRY",False
EM 335G RHUBARBE,em rhubarbe,,,,False
EMIN POUL CUIT BBQ,emin poul cuit bbq,BBQ,BBQ,"BBQ BEANS, BBQ",False
EMINC POULET,eminc chicken,CHICKEN,CHICKEN,CHICKEN,False
EMINCE POULET,emince chicken,CHICKEN,CHICKEN,CHICKEN,False
ENJOY COCO FRUIT,enjoy coco fruit,"ENJOY CHOCOLAT, CHOCOLATE",ENJOY ORANGETTE SODA,"COCO CON CREMA, COCO",False
ENTREM. DEGUST.250G,entrem degust,,,,False
ENTREM.DECUST.250G,entrem decust,,,,False
EPINARDS,spinach,SPINACH,SPINACH,SPINACH,False
EPINARDS 500GR,spinach 500gr,SPINACH,SPINACH,SPINACH,False
ESCALOPE DE VEAU,escalope de veal,"VEAL DUMPLINGS, VEAL","VEAL DEMI GLACE, VEAL",GROUND VEAL,False
EXCELLENCE 70,excellence 70,"LINDT, 70% COCOA SMOOTH DARK EXCELLENCE BAR","LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,False
EXCELLENCE 70%,excellence 70,"LINDT, 70% COCOA SMOOTH DARK EXCELLENCE BAR","LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,False
FAIRBEL 1/2 E,fairbel 1 2 e,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,PASTA E FAGIOLI,False
FAIREBEL 1/2 E,fairebel 1 2 e,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,PASTA E FAGIOLI,False
FAIREBEL BEURRE,fairebel butter,BUTTER,BUTTER,BUTTER,False
FARBEL ENTIER,farbel entier,,,,False
FARMER RAUWKOST,farmer rauwkost,FARMER CHEESE,FARMER CHEESE,FARMER CHEESE,False
FASTER 1/2 E,faster 1 2 e,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,PASTA E FAGIOLI,False
FENOUILS,fenouils,,,,False
"FENOUILS 0,485 KG X",fenouils 0 485 kg x,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
FETTUCCINE 300G,fettuccine,FETTUCCINE,FETTUCCINE,FETTUCCINE,False
FEVES A COUP 400GR,feves a coup 400gr,A,"TAZAH, BROAD BEANS - FEVES",GRADE A,False
FIGUE FRAICHE,fig fraiche,CREME FRAICHE,CREME FRAICHE,FIG,False
FILET DE JAMBON,filet de ham,FILET MIGNON,TENDERLOIN FILET,HAM,False
FILET DE POULET,chicken breast fillet,CHICKEN BREAST FILLET,CHICKEN BREAST FILLET,CHICKEN BREAST FILLET,False
FILET POITRINE DE,filet poitrine de,FILET MIGNON,TENDERLOIN FILET,BEEF FILET MIGNON,False
"FILET POITRINE POU 10,85",filet poitrine pou 10 85,FILET OF SIRLOIN CH 10 OZ,FILET OF SIRLOIN CH 10 OZ,FILET OF SIRLOIN CH 10 OZ,False
"FILET POITRINE POU 11,43",filet poitrine pou 11 43,FILET MIGNON,TENDERLOIN FILET,"11 GRAIN BREAD, 11 GRAIN",False
FILET PUR,filet pur,PLM SPUF PUR BLUE PUR SWPOT 1.5OZ,FILET MIGNON,TENDERLOIN FILET,False
FILET PUR DE DORC,filet pur de dorc,PLM SPUF PUR BLUE PUR SWPOT 1.5OZ,FILET MIGNON,TENDERLOIN FILET,False
FILET PUR DE PORC,filet pur de pork,PORK LOIN FILET,Pork Loin Filet,Pork Loin Filet,False
FILET SAUMON S/P,filet salmon s p,S + P BLEND,P & P LOAF,FILET MIGNON,False
FILETS PORC-VEAU,filets pork veal,"VEAL DUMPLINGS, VEAL",SALMON FILETS,"VEAL DEMI GLACE, VEAL",False
FITNESS BAGUE,fitness bague,FITNESS MIX,FITNESS MIX,FITNESS MIX,False
FLEURES 38,fleures 38,DR 38 SODA,38 CALORIE MARGARITA MIX,PENNONI NO. 38 PASTA,False
FLEURS 36,fleurs 36,ROTINI 36,CAVATAPPI NO. 36 PASTA,CAVATAPPI NO. 36 PASTA,False
FM BIO SW POT 360G,fm bio sw pot,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,POT PIE,False
FONDANT COTE D OR,fondant cote d or,FONDANT,FONDANT,FONDANT,False
FRAISE 400GR,strawberry 400gr,STRAWBERRY,STRAWBERRY,STRAWBERRY,False
FRAISE 500G,strawberry,STRAWBERRY,STRAWBERRY,STRAWBERRY,False
FRAISES 500G,strawberry,STRAWBERRY,STRAWBERRY,STRAWBERRY,False
FRAISES FANTIER,strawberry fantier,STRAWBERRY,STRAWBERRY,STRAWBERRY,False
FRAMBOIS 125G,frambois,,,,False
FRAMBOISE 125G,raspberry,RASPBERRY,RASPBERRY,"RASPBERRY APPLESAUCE, RASPBERRY",False
FRASER 1//2 E,fraser 1 2 e,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,PASTA E FAGIOLI,False
FRASSE 500G,frasse,,,,False
FRESH CLEAN BR PEP,fresh clean br pep,FRESH 'N CLEAN SLICED MUSHROOMS,MOZZARELLA GRLC BR,CLEAN ENERGY,False
FRISK CLEAN BR PEP,frisk clean br pep,MOZZARELLA GRLC BR,CLEAN ENERGY,CLEAN SNAX,False
FRISK XL TINS PEP,frisk xl tins pep,ORNAMENT TINS,EGG TINS CANDY,"COCKTAIL PEP SMOKED SAUSAGES, COCKTAIL PEP",False
FROMAGE ENTIE,cheese entie,CHEESE,CHEESE,CHEESE,False
FRUIT & LEGUMES,fruit legumes,"FRUIT CAKE, FRUIT","FRUIT CAKE, FRUIT","FRUIT CAKE, FRUIT",False
